date,time,,comments,slide
5/24/2016,8:20 AM,PTR Chores,email; calendar,
5/24/2016,8:35 AM,GENIE Fly Work,flip parents,
5/24/2016,9:00 AM,Reiser Lab The Box,sort,
5/24/2016,10:00 AM,PTR Chores,TM6 training,
5/24/2016,10:10 AM,RS - PostProcess,verify orientation of brains,20160324_100_RS
5/24/2016,10:15 AM,RS - PostProcess,verify orientation of brains,20160324_101_RS
5/24/2016,10:20 AM,RS - PostProcess,verify orientation of brains,20160331_100_RS
5/24/2016,10:27 AM,XZ - PostProcess,verify interpolation parameters for 4/26/16 images,20160408_100_XZ
5/24/2016,11:05 AM,LS - PostProcess,check tmog,20160904_100_LS
5/24/2016,11:15 AM,XZ - PostProcess,verify interpolation parameters for 4/26/16 images,20160408_101_XZ
5/24/2016,11:35 AM,RS - PostProcess,verify orientation of VNCs,20160324_100_RS
5/24/2016,11:40 AM,RS - PostProcess,verify orientation of VNCs,20160324_101_RS
5/24/2016,11:45 AM,RS - PostProcess,verify orientation of VNCs,20160331_100_RS
5/24/2016,11:50 AM,Reiser Lab The Box,analysis,
5/24/2016,12:15 PM,lunch,,
5/24/2016,12:45 PM,Reiser Lab The Box,analysis,
5/24/2016,2:00 PM,Group Meetings,GI; KC; Kelly,
5/24/2016,2:28 PM,GI Meetings,Yi; PTR-IHC smartsheet,
5/24/2016,2:40 PM,Reiser Lab The Box,protocol 5.35-34,
5/24/2016,5:10 PM,YS - Setup,,20160524_YS
5/24/2016,5:49 PM,depart,,
5/25/2016,8:40 AM,PTR Chores,email; calendar,
5/25/2016,9:10 AM,GENIE Fly Work,flip parents; flip stocks; clear vials for virgins,
5/25/2016,9:45 AM,PTR Chores,TM6 training,
5/25/2016,10:00 AM,GENIE Fly Work,update calendar,
5/25/2016,10:15 AM,PTR Chores,PTR-IHC Smartsheet,20160506_100_20X_JC
5/25/2016,10:27 AM,PTR Chores,PTR-IHC Smartsheet,20160506_100_63X_1_JC
5/25/2016,10:39 AM,PTR Chores,PTR-IHC Smartsheet,20160506_100_63X_2_JC
5/25/2016,10:50 AM,PTR Chores,PTR-IHC Smartsheet,20160408_100_XZ
5/25/2016,11:10 AM,PTR Chores,PTR-IHC Smartsheet,20160408_101_XZ
5/25/2016,11:30 AM,PTR Chores,PTR-IHC Smartsheet,20160324_100_RS
5/25/2016,11:50 AM,PTR Chores,PTR-IHC Smartsheet,20160324_101_RS
5/25/2016,12:05 PM,lunch,,
5/25/2016,12:35 PM,Reiser Lab The Box,test protocol & update documentation,
5/25/2016,1:30 PM,PTR Chores,PTR-IHC Smartsheet,20160331_100_RS
5/25/2016,1:40 PM,JC - PostProcess,sorting out various runs; tying up loose ends,20160506_100_JC
5/25/2016,3:20 PM,XZ - PostProcess,sorting out various runs; tying up loose ends,20160408_100_XZ
5/25/2016,3:55 PM,XZ - PostProcess,sorting out various runs; tying up loose ends,20160408_101_XZ
5/25/2016,4:30 PM,GENIE Fly Work,virgins,
5/25/2016,4:39 PM,PTR Chores,chargebacks,
5/25/2016,5:01 PM,depart,,
5/26/2016,9:45 AM,PTR Chores,email; calendar,
5/26/2016,10:20 AM,GENIE Fly Work,paper wedges; labels; virgins; parents; DoBs,
5/26/2016,10:55 AM,Reiser Lab The Box,clear parents,
5/26/2016,11:05 AM,LS - PostProcess,check WS for images,20160904_100_LS
5/26/2016,11:15 AM,GI Meetings,documenting confocal times & issues,
5/26/2016,11:30 AM,lunch,,
5/26/2016,12:00 PM,Reiser Lab The Box,start experiment,
5/26/2016,2:30 PM,RS - PostProcess,reviewing charges,
5/26/2016,4:11 PM,GENIE Fly Work,virgins; DoBs,
5/26/2016,4:30 PM,PTR Chores,TM6 training,
5/26/2016,4:50 PM,PTR Chores,daily log,
5/26/2016,5:00 PM,depart,,
5/27/2016,8:50 AM,PTR Chores,email; calendar,
5/27/2016,9:00 AM,Other Imaging,check drive space available: HD;dm11;tier2,
5/27/2016,9:02 AM,GENIE Fly Work,virgins;parents,
5/27/2016,9:39 AM,PTR Chores,TM6 training,
