8/22/2016,9:00 AM,PTO,,
8/22/2016,5:00 PM,depart,,
8/23/2016,8:30 AM,PTR Chores,email; calendar,
8/23/2016,8:40 AM,Other Imaging,update resource scheduler,
8/23/2016,8:45 AM,Reiser,flip flies,
8/23/2016,9:00 AM,XZ Prep,scheduling,201608-XZ
8/23/2016,12:00 PM,lunch,,
8/23/2016,12:30 PM,Other Imaging,Analyze Zen errors; update confocal tables,
8/23/2016,1:30 PM,XZ Prep,imaging plan,20160810_100_20X_XZ_2
8/23/2016,1:50 PM,Other Imaging,update resource scheduler,
8/23/2016,2:15 PM,SH Post,smartsheet,20160701_101_63X_SH_2
8/23/2016,2:30 PM,Other Imaging,update Zen error log,
8/23/2016,3:45 PM,XZ Setup,,20160810_100_20X_XZ_2
8/23/2016,5:50 PM,depart,,
8/24/2016,8:15 AM,XZ Post,remove; copy to PTR & Public; MIPs; tables,20160810_100_20X_XZ_2
8/24/2016,9:00 AM,PTR Chores,email; calendar,
8/24/2016,9:20 AM,XZ Post,slidemap; email; stats,20160810_100_20X_XZ_2
8/24/2016,10:00 AM,Group Meeting,PTR-IHC,20160810_100_20X_XZ_2
8/24/2016,10:07 AM,Group Meeting,PTR-IHC,20160810_101_20X_XZ
8/24/2016,10:14 AM,Group Meeting,PTR-IHC,20160812_100_20X_XZ
8/24/2016,10:22 AM,Group Meeting,PTR-IHC,20160812_101_20X_XZ
8/24/2016,10:30 AM,PTR Chores,email; calendar,
8/24/2016,10:40 AM,XZ prep,,20160812_100_20X_XZ
8/24/2016,10:45 AM,GI Meeting,change PTR-IHC meeting time,
8/24/2016,10:50 AM,XZ Prep,,20160810_101_20X_XZ
8/24/2016,11:05 AM,XZ Prep,,20160812_101_20X_XZ
8/24/2016,11:15 AM,classes & training,check out resource scheduler upgrades,
8/24/2016,11:20 AM,Other Imaging,evaluate time to restart run w/ & w/o coordinates,
8/24/2016,11:38 AM,lunch,,
8/24/2016,12:40 PM,PTR Chores,performance review,
8/24/2016,12:55 PM,Other Imaging,Analyze Zen errors and restarts,
8/24/2016,1:50 PM,PTR Chores,chargebacks,
8/24/2016,2:00 PM,Other Imaging,Review Confocal tables,
8/24/2016,3:00 PM,lunch,fitness,
8/24/2016,4:35 PM,PTR Chores,email; calendar,
8/24/2016,5:45 PM,depart,,
8/25/2016,8:55 AM,PTR Chores,email; calendar,
8/25/2016,9:10 AM,Other Imaging,add file links to Zen logs,
8/25/2016,10:00 AM,Group Meeting,PTR-IHC mtg prep,
8/25/2016,10:05 AM,classes & training,check out resource scheduler upgrades,
8/25/2016,10:30 AM,Other Imaging,add file links to Zen logs,
8/25/2016,11:30 AM,lunch,,
8/25/2016,12:00 PM,Other Imaging,Zen error logs,
8/25/2016,1:30 PM,Group Meeting,PTR-IHC meeting,
8/25/2016,2:30 PM,PTR Chores,ergonomics mtg w/ Jennifer,
8/25/2016,2:40 PM,Other Imaging,Zen error logs,
8/25/2016,4:30 PM,depart,,
8/26/2016,10:00 AM,PTR Chores,email; calendar,
8/26/2016,10:15 AM,Other Imaging,Zen error logs,
8/26/2016,11:30 AM,lunch,,
8/26/2016,12:00 PM,Reiser,flip flies,
8/26/2016,12:15 PM,Other Imaging,Zen error logs,
8/26/2016,1:00 PM,GI Meeting,,
8/26/2016,2:00 PM,Reiser,email to Jessica re: box exps.,
8/26/2016,2:10 PM,Other Imaging,Workstation try 3-D view,
8/26/2016,2:35 PM,Other Imaging,evaluate time spent on post processing,
8/26/2016,2:50 PM,PTR Chores,planning calendar updates,
8/26/2016,3:40 PM,Other Imaging,Zen error logs,
8/26/2016,4:00 PM,XZ Prep,,20160810_101_20X_XZ
8/26/2016,4:15 PM,XZ Setup,,20160810_101_20X_XZ
8/26/2016,6:20 PM,depart,,
8/27/2016,11:25 AM,XZ Post,remove slide,20160810_101_20X_XZ
8/27/2016,11:30 AM,XZ Prep,,20160812_100_20X_XZ
8/27/2016,11:45 AM,depart,,
8/27/2016,7:00 PM,XZ Post,QC,20160810_101_20X_XZ
8/27/2016,7:09 PM,XZ Setup,,20160812_100_20X_XZ
8/27/2016,8:49 PM,depart,,
8/28/2016,6:55 PM,XZ Prep,,20160812_101_20X_XZ
8/28/2016,7:05 PM,XZ Setup,,20160812_101_20X_XZ
8/28/2016,8:10 PM,depart,,
8/29/2016,7:45 AM,XZ Post,,20160812_101_20X_XZ
8/29/2016,7:50 AM,Other Imaging,backup recipes and zen configs,
8/29/2016,8:00 AM,PTR Chores,email; calendar,
8/29/2016,8:20 AM,XZ Post,,20160810_101_20X_XZ
8/29/2016,8:40 AM,XZ Post,,20160812_100_20X_XZ
8/29/2016,9:00 AM,XZ Post,,20160812_101_20X_XZ
8/29/2016,9:18 AM,lunch,personal break,
8/29/2016,9:31 AM,PTR Chores,j-card,
8/29/2016,9:32 AM,XZ Post,slidemap,20160810_101_20X_XZ
8/29/2016,10:00 AM,XZ Post,slidemap,20160812_100_20X_XZ
8/29/2016,10:30 AM,XZ Post,slidemap,20160812_101_20X_XZ
8/29/2016,10:53 AM,PTR Chores,chargebacks,
8/29/2016,11:30 AM,lunch,,
8/29/2016,12:00 PM,XZ Post,email,20160810_101_20X_XZ
8/29/2016,12:05 PM,XZ Post,email,20160812_100_20X_XZ
8/29/2016,12:10 PM,XZ Post,email,20160812_101_20X_XZ
8/29/2016,12:15 PM,XZ Smartsheet,,20160810_101_20X_XZ
8/29/2016,12:45 PM,XZ Smartsheet,,20160812_100_20X_XZ
8/29/2016,12:52 PM,XZ Smartsheet,,20160812_101_20X_XZ
8/29/2016,1:00 PM,Other Imaging,evaluate times for imaging & processing,
8/29/2016,1:20 PM,Group Meeting,team meeting,
8/29/2016,2:20 PM,Other Imaging,evaluate disk space,
8/29/2016,3:30 PM,Reiser,crossses,
8/29/2016,4:05 PM,Other Imaging,evaluate disk space,
8/29/2016,4:53 PM,depart,,
8/30/2016,9:00 AM,PTR Chores,email; calendar,
8/30/2016,9:20 AM,SH Prep,planning process,20160811_100_20X_SH
8/30/2016,9:54 AM,SH Prep,planning process,20160816_100_20X_SH
8/30/2016,10:28 AM,SH Prep,planning process,20160819_100_20X_SH
8/30/2016,11:00 AM,GI Meeting,SH imaging & disk space,
8/30/2016,11:37 AM,lunch,,
8/30/2016,12:07 PM,SH Prep,,20160811_100_20X_SH
8/30/2016,12:41 PM,SH Prep,,20160816_100_20X_SH
8/30/2016,1:15 PM,SH Prep,,20160819_100_20X_SH
8/30/2016,1:50 PM,SH Post,slidemap,20160811_100_20X_SH
8/30/2016,2:15 PM,SH Prep,map coords,20160811_100_20X_SH
8/30/2016,2:28 PM,depart,,
8/30/2016,4:30 PM,SH Post,slidemap,20160816_100_20X_SH
8/30/2016,4:33 PM,SH Post,slidemap,20160819_100_20X_SH
8/30/2016,4:36 PM,SH Prep,map coords,20160811_100_20X_SH
8/30/2016,4:43 PM,SH Prep,map coords,20160819_100_20X_SH
8/30/2016,4:47 PM,Other Imaging,clear disk space,
8/30/2016,5:10 PM,classes & training,discussion with Jacob about his work,
8/30/2016,5:28 PM,depart,,
8/30/2016,5:50 PM,SH Setup,,20160811_100_20X_SH
8/30/2016,8:05 PM,depart,,
8/31/2016,9:10 AM,classes & training,discussion with Aaron about z-ranges on 800,
8/31/2016,9:15 AM,SH Prep,plan imaging & talk w/ GI,20160811_100_20X_SH
8/31/2016,10:13 AM,PTR Chores,email; calendar,
